"region","technology","year","capacity.factor.region"
"EU-15","wind_storage",2025,0.38
"EU-15","wind_storage",2030,0.38
"EU-15","wind_storage",2035,0.38
"EU-15","wind_storage",2040,0.38
"EU-15","wind_storage",2045,0.38
"EU-15","wind_storage",2050,0.38
"EU-15","wind_storage",2055,0.38
"EU-15","wind_storage",2060,0.38
"EU-15","wind_storage",2065,0.38
"EU-15","wind_storage",2070,0.38
"EU-15","wind_storage",2075,0.38
"EU-15","wind_storage",2080,0.38
"EU-15","wind_storage",2085,0.38
"EU-15","wind_storage",2090,0.38
"EU-15","wind_storage",2095,0.38
"EU-15","wind_storage",2100,0.38
"Europe_Eastern","wind_storage",1975,0.34
"Europe_Eastern","wind_storage",1990,0.34
"Europe_Eastern","wind_storage",2005,0.34
"Europe_Eastern","wind_storage",2010,0.34
"Europe_Eastern","wind_storage",2015,0.34
"Europe_Eastern","wind_storage",2020,0.34
"Europe_Eastern","wind_storage",2025,0.34
"Europe_Eastern","wind_storage",2030,0.34
"Europe_Eastern","wind_storage",2035,0.34
"Europe_Eastern","wind_storage",2040,0.34
"Europe_Eastern","wind_storage",2045,0.34
"Europe_Eastern","wind_storage",2050,0.34
"Europe_Eastern","wind_storage",2055,0.34
"Europe_Eastern","wind_storage",2060,0.34
"Europe_Eastern","wind_storage",2065,0.34
"Europe_Eastern","wind_storage",2070,0.34
"Europe_Eastern","wind_storage",2075,0.34
"Europe_Eastern","wind_storage",2080,0.34
"Europe_Eastern","wind_storage",2085,0.34
"Europe_Eastern","wind_storage",2090,0.34
"Europe_Eastern","wind_storage",2095,0.34
"Europe_Eastern","wind_storage",2100,0.34
"Europe_Non_EU","wind_storage",1975,0.36
"Europe_Non_EU","wind_storage",1990,0.36
"Europe_Non_EU","wind_storage",2005,0.36
"Europe_Non_EU","wind_storage",2010,0.36
"Europe_Non_EU","wind_storage",2015,0.36
"Europe_Non_EU","wind_storage",2020,0.36
"Europe_Non_EU","wind_storage",2025,0.36
"Europe_Non_EU","wind_storage",2030,0.36
"Europe_Non_EU","wind_storage",2035,0.36
"Europe_Non_EU","wind_storage",2040,0.36
"Europe_Non_EU","wind_storage",2045,0.36
"Europe_Non_EU","wind_storage",2050,0.36
"Europe_Non_EU","wind_storage",2055,0.36
"Europe_Non_EU","wind_storage",2060,0.36
"Europe_Non_EU","wind_storage",2065,0.36
"Europe_Non_EU","wind_storage",2070,0.36
"Europe_Non_EU","wind_storage",2075,0.36
"Europe_Non_EU","wind_storage",2080,0.36
"Europe_Non_EU","wind_storage",2085,0.36
"Europe_Non_EU","wind_storage",2090,0.36
"Europe_Non_EU","wind_storage",2095,0.36
"Europe_Non_EU","wind_storage",2100,0.36
"European Free Trade Association","wind_storage",1975,0.37
"European Free Trade Association","wind_storage",1990,0.37
"European Free Trade Association","wind_storage",2005,0.37
"European Free Trade Association","wind_storage",2010,0.37
"European Free Trade Association","wind_storage",2015,0.37
"European Free Trade Association","wind_storage",2020,0.37
"European Free Trade Association","wind_storage",2025,0.37
"European Free Trade Association","wind_storage",2030,0.37
"European Free Trade Association","wind_storage",2035,0.37
"European Free Trade Association","wind_storage",2040,0.37
"European Free Trade Association","wind_storage",2045,0.37
"European Free Trade Association","wind_storage",2050,0.37
"European Free Trade Association","wind_storage",2055,0.37
"European Free Trade Association","wind_storage",2060,0.37
"European Free Trade Association","wind_storage",2065,0.37
"European Free Trade Association","wind_storage",2070,0.37
"European Free Trade Association","wind_storage",2075,0.37
"European Free Trade Association","wind_storage",2080,0.37
"European Free Trade Association","wind_storage",2085,0.37
"European Free Trade Association","wind_storage",2090,0.37
"European Free Trade Association","wind_storage",2095,0.37
"European Free Trade Association","wind_storage",2100,0.37
"India","wind_storage",1975,0.36
"India","wind_storage",1990,0.36
"India","wind_storage",2005,0.36
"India","wind_storage",2010,0.36
"India","wind_storage",2015,0.36
"India","wind_storage",2020,0.36
"India","wind_storage",2025,0.36
"India","wind_storage",2030,0.36
"India","wind_storage",2035,0.36
"India","wind_storage",2040,0.36
"India","wind_storage",2045,0.36
"India","wind_storage",2050,0.36
"India","wind_storage",2055,0.36
"India","wind_storage",2060,0.36
"India","wind_storage",2065,0.36
"India","wind_storage",2070,0.36
"India","wind_storage",2075,0.36
"India","wind_storage",2080,0.36
"India","wind_storage",2085,0.36
"India","wind_storage",2090,0.36
"India","wind_storage",2095,0.36
"India","wind_storage",2100,0.36
"Indonesia","wind_storage",1975,0.34
"Indonesia","wind_storage",1990,0.34
"Indonesia","wind_storage",2005,0.34
"Indonesia","wind_storage",2010,0.34
"Indonesia","wind_storage",2015,0.34
"Indonesia","wind_storage",2020,0.34
"Indonesia","wind_storage",2025,0.34
"Indonesia","wind_storage",2030,0.34
"Indonesia","wind_storage",2035,0.34
"Indonesia","wind_storage",2040,0.34
"Indonesia","wind_storage",2045,0.34
"Indonesia","wind_storage",2050,0.34
"Indonesia","wind_storage",2055,0.34
"Indonesia","wind_storage",2060,0.34
"Indonesia","wind_storage",2065,0.34
"Indonesia","wind_storage",2070,0.34
"Indonesia","wind_storage",2075,0.34
"Indonesia","wind_storage",2080,0.34
"Indonesia","wind_storage",2085,0.34
"Indonesia","wind_storage",2090,0.34
"Indonesia","wind_storage",2095,0.34
"Indonesia","wind_storage",2100,0.34
"Japan","wind_storage",1975,0.38
"Japan","wind_storage",1990,0.38
"Japan","wind_storage",2005,0.38
"Japan","wind_storage",2010,0.38
"Japan","wind_storage",2015,0.38
"Japan","wind_storage",2020,0.38
"Japan","wind_storage",2025,0.38
"Japan","wind_storage",2030,0.38
"Japan","wind_storage",2035,0.38
"Japan","wind_storage",2040,0.38
"Japan","wind_storage",2045,0.38
"Japan","wind_storage",2050,0.38
"Japan","wind_storage",2055,0.38
"Japan","wind_storage",2060,0.38
"Japan","wind_storage",2065,0.38
"Japan","wind_storage",2070,0.38
"Japan","wind_storage",2075,0.38
"Japan","wind_storage",2080,0.38
"Japan","wind_storage",2085,0.38
"Japan","wind_storage",2090,0.38
"Japan","wind_storage",2095,0.38
"Japan","wind_storage",2100,0.38
"Mexico","wind_storage",1975,0.38
"Mexico","wind_storage",1990,0.38
"Mexico","wind_storage",2005,0.38
"Mexico","wind_storage",2010,0.38
"Mexico","wind_storage",2015,0.38
"Mexico","wind_storage",2020,0.38
"Mexico","wind_storage",2025,0.38
"Mexico","wind_storage",2030,0.38
"Mexico","wind_storage",2035,0.38
"Mexico","wind_storage",2040,0.38
"Mexico","wind_storage",2045,0.38
"Mexico","wind_storage",2050,0.38
"Mexico","wind_storage",2055,0.38
"Mexico","wind_storage",2060,0.38
"Mexico","wind_storage",2065,0.38
"Mexico","wind_storage",2070,0.38
"Mexico","wind_storage",2075,0.38
"Mexico","wind_storage",2080,0.38
"Mexico","wind_storage",2085,0.38
"Mexico","wind_storage",2090,0.38
"Mexico","wind_storage",2095,0.38
"Mexico","wind_storage",2100,0.38
"Middle East","wind_storage",1975,0.35
"Middle East","wind_storage",1990,0.35
"Middle East","wind_storage",2005,0.35
"Middle East","wind_storage",2010,0.35
"Middle East","wind_storage",2015,0.35
"Middle East","wind_storage",2020,0.35
"Middle East","wind_storage",2025,0.35
"Middle East","wind_storage",2030,0.35
"Middle East","wind_storage",2035,0.35
"Middle East","wind_storage",2040,0.35
"Middle East","wind_storage",2045,0.35
"Middle East","wind_storage",2050,0.35
"Middle East","wind_storage",2055,0.35
"Middle East","wind_storage",2060,0.35
"Middle East","wind_storage",2065,0.35
"Middle East","wind_storage",2070,0.35
"Middle East","wind_storage",2075,0.35
"Middle East","wind_storage",2080,0.35
"Middle East","wind_storage",2085,0.35
"Middle East","wind_storage",2090,0.35
"Middle East","wind_storage",2095,0.35
"Middle East","wind_storage",2100,0.35
"Pakistan","wind_storage",1975,0.35
"Pakistan","wind_storage",1990,0.35
"Pakistan","wind_storage",2005,0.35
"Pakistan","wind_storage",2010,0.35
"Pakistan","wind_storage",2015,0.35
"Pakistan","wind_storage",2020,0.35
"Pakistan","wind_storage",2025,0.35
"Pakistan","wind_storage",2030,0.35
"Pakistan","wind_storage",2035,0.35
"Pakistan","wind_storage",2040,0.35
"Pakistan","wind_storage",2045,0.35
"Pakistan","wind_storage",2050,0.35
"Pakistan","wind_storage",2055,0.35
"Pakistan","wind_storage",2060,0.35
"Pakistan","wind_storage",2065,0.35
"Pakistan","wind_storage",2070,0.35
"Pakistan","wind_storage",2075,0.35
"Pakistan","wind_storage",2080,0.35
"Pakistan","wind_storage",2085,0.35
"Pakistan","wind_storage",2090,0.35
"Pakistan","wind_storage",2095,0.35
"Pakistan","wind_storage",2100,0.35
"Russia","wind_storage",1975,0.38
"Russia","wind_storage",1990,0.38
"Russia","wind_storage",2005,0.38
"Russia","wind_storage",2010,0.38
"Russia","wind_storage",2015,0.38
"Russia","wind_storage",2020,0.38
"Russia","wind_storage",2025,0.38
"Russia","wind_storage",2030,0.38
"Russia","wind_storage",2035,0.38
"Russia","wind_storage",2040,0.38
"Russia","wind_storage",2045,0.38
"Russia","wind_storage",2050,0.38
"Russia","wind_storage",2055,0.38
"Russia","wind_storage",2060,0.38
"Russia","wind_storage",2065,0.38
"Russia","wind_storage",2070,0.38
"Russia","wind_storage",2075,0.38
"Russia","wind_storage",2080,0.38
"Russia","wind_storage",2085,0.38
"Russia","wind_storage",2090,0.38
"Russia","wind_storage",2095,0.38
"Russia","wind_storage",2100,0.38
"South Africa","wind_storage",1975,0.37
"South Africa","wind_storage",1990,0.37
"South Africa","wind_storage",2005,0.37
"South Africa","wind_storage",2010,0.37
"South Africa","wind_storage",2015,0.37
"South Africa","wind_storage",2020,0.37
"South Africa","wind_storage",2025,0.37
"South Africa","wind_storage",2030,0.37
"South Africa","wind_storage",2035,0.37
"South Africa","wind_storage",2040,0.37
"South Africa","wind_storage",2045,0.37
"South Africa","wind_storage",2050,0.37
"South Africa","wind_storage",2055,0.37
"South Africa","wind_storage",2060,0.37
"South Africa","wind_storage",2065,0.37
"South Africa","wind_storage",2070,0.37
"South Africa","wind_storage",2075,0.37
"South Africa","wind_storage",2080,0.37
"South Africa","wind_storage",2085,0.37
"South Africa","wind_storage",2090,0.37
"South Africa","wind_storage",2095,0.37
"South Africa","wind_storage",2100,0.37
"South America_Northern","wind_storage",1975,0.35
"South America_Northern","wind_storage",1990,0.35
"South America_Northern","wind_storage",2005,0.35
"South America_Northern","wind_storage",2010,0.35
"South America_Northern","wind_storage",2015,0.35
"South America_Northern","wind_storage",2020,0.35
"South America_Northern","wind_storage",2025,0.35
"South America_Northern","wind_storage",2030,0.35
"South America_Northern","wind_storage",2035,0.35
"South America_Northern","wind_storage",2040,0.35
"South America_Northern","wind_storage",2045,0.35
"South America_Northern","wind_storage",2050,0.35
"South America_Northern","wind_storage",2055,0.35
"South America_Northern","wind_storage",2060,0.35
"South America_Northern","wind_storage",2065,0.35
"South America_Northern","wind_storage",2070,0.35
"South America_Northern","wind_storage",2075,0.35
"South America_Northern","wind_storage",2080,0.35
"South America_Northern","wind_storage",2085,0.35
"South America_Northern","wind_storage",2090,0.35
"South America_Northern","wind_storage",2095,0.35
"South America_Northern","wind_storage",2100,0.35
"South America_Southern","wind_storage",1975,0.36
"South America_Southern","wind_storage",1990,0.36
"South America_Southern","wind_storage",2005,0.36
"South America_Southern","wind_storage",2010,0.36
"South America_Southern","wind_storage",2015,0.36
"South America_Southern","wind_storage",2020,0.36
"South America_Southern","wind_storage",2025,0.36
"South America_Southern","wind_storage",2030,0.36
"South America_Southern","wind_storage",2035,0.36
"South America_Southern","wind_storage",2040,0.36
"South America_Southern","wind_storage",2045,0.36
"South America_Southern","wind_storage",2050,0.36
"South America_Southern","wind_storage",2055,0.36
"South America_Southern","wind_storage",2060,0.36
"South America_Southern","wind_storage",2065,0.36
"South America_Southern","wind_storage",2070,0.36
"South America_Southern","wind_storage",2075,0.36
"South America_Southern","wind_storage",2080,0.36
"South America_Southern","wind_storage",2085,0.36
"South America_Southern","wind_storage",2090,0.36
"South America_Southern","wind_storage",2095,0.36
"South America_Southern","wind_storage",2100,0.36
"South Asia","wind_storage",1975,0.35
"South Asia","wind_storage",1990,0.35
"South Asia","wind_storage",2005,0.35
"South Asia","wind_storage",2010,0.35
"South Asia","wind_storage",2015,0.35
"South Asia","wind_storage",2020,0.35
"South Asia","wind_storage",2025,0.35
"South Asia","wind_storage",2030,0.35
"South Asia","wind_storage",2035,0.35
"South Asia","wind_storage",2040,0.35
"South Asia","wind_storage",2045,0.35
"South Asia","wind_storage",2050,0.35
"South Asia","wind_storage",2055,0.35
"South Asia","wind_storage",2060,0.35
"South Asia","wind_storage",2065,0.35
"South Asia","wind_storage",2070,0.35
"South Asia","wind_storage",2075,0.35
"South Asia","wind_storage",2080,0.35
"South Asia","wind_storage",2085,0.35
"South Asia","wind_storage",2090,0.35
"South Asia","wind_storage",2095,0.35
"South Asia","wind_storage",2100,0.35
"South Korea","wind_storage",1975,0.29
"South Korea","wind_storage",1990,0.29
"South Korea","wind_storage",2005,0.29
"South Korea","wind_storage",2010,0.29
"South Korea","wind_storage",2015,0.29
"South Korea","wind_storage",2020,0.29
"South Korea","wind_storage",2025,0.29
"South Korea","wind_storage",2030,0.29
"South Korea","wind_storage",2035,0.29
"South Korea","wind_storage",2040,0.29
"South Korea","wind_storage",2045,0.29
"South Korea","wind_storage",2050,0.29
"South Korea","wind_storage",2055,0.29
"South Korea","wind_storage",2060,0.29
"South Korea","wind_storage",2065,0.29
"South Korea","wind_storage",2070,0.29
"South Korea","wind_storage",2075,0.29
"South Korea","wind_storage",2080,0.29
"South Korea","wind_storage",2085,0.29
"South Korea","wind_storage",2090,0.29
"South Korea","wind_storage",2095,0.29
"South Korea","wind_storage",2100,0.29
"Southeast Asia","wind_storage",1975,0.36
"Southeast Asia","wind_storage",1990,0.36
"Southeast Asia","wind_storage",2005,0.36
"Southeast Asia","wind_storage",2010,0.36
"Southeast Asia","wind_storage",2015,0.36
"Southeast Asia","wind_storage",2020,0.36
"Southeast Asia","wind_storage",2025,0.36
"Southeast Asia","wind_storage",2030,0.36
"Southeast Asia","wind_storage",2035,0.36
"Southeast Asia","wind_storage",2040,0.36
"Southeast Asia","wind_storage",2045,0.36
"Southeast Asia","wind_storage",2050,0.36
"Southeast Asia","wind_storage",2055,0.36
"Southeast Asia","wind_storage",2060,0.36
"Southeast Asia","wind_storage",2065,0.36
"Southeast Asia","wind_storage",2070,0.36
"Southeast Asia","wind_storage",2075,0.36
"Southeast Asia","wind_storage",2080,0.36
"Southeast Asia","wind_storage",2085,0.36
"Southeast Asia","wind_storage",2090,0.36
"Southeast Asia","wind_storage",2095,0.36
"Southeast Asia","wind_storage",2100,0.36
"Taiwan","wind_storage",1975,0.31
"Taiwan","wind_storage",1990,0.31
"Taiwan","wind_storage",2005,0.31
"Taiwan","wind_storage",2010,0.31
"Taiwan","wind_storage",2015,0.31
"Taiwan","wind_storage",2020,0.31
"Taiwan","wind_storage",2025,0.31
"Taiwan","wind_storage",2030,0.31
"Taiwan","wind_storage",2035,0.31
"Taiwan","wind_storage",2040,0.31
"Taiwan","wind_storage",2045,0.31
"Taiwan","wind_storage",2050,0.31
"Taiwan","wind_storage",2055,0.31
"Taiwan","wind_storage",2060,0.31
"Taiwan","wind_storage",2065,0.31
"Taiwan","wind_storage",2070,0.31
"Taiwan","wind_storage",2075,0.31
"Taiwan","wind_storage",2080,0.31
"Taiwan","wind_storage",2085,0.31
"Taiwan","wind_storage",2090,0.31
"Taiwan","wind_storage",2095,0.31
"Taiwan","wind_storage",2100,0.31
"Argentina","wind_storage",1975,0.37
"Argentina","wind_storage",1990,0.37
"Argentina","wind_storage",2005,0.37
"Argentina","wind_storage",2010,0.37
"Argentina","wind_storage",2015,0.37
"Argentina","wind_storage",2020,0.37
"Argentina","wind_storage",2025,0.37
"Argentina","wind_storage",2030,0.37
"Argentina","wind_storage",2035,0.37
"Argentina","wind_storage",2040,0.37
"Argentina","wind_storage",2045,0.37
"Argentina","wind_storage",2050,0.37
"Argentina","wind_storage",2055,0.37
"Argentina","wind_storage",2060,0.37
"Argentina","wind_storage",2065,0.37
"Argentina","wind_storage",2070,0.37
"Argentina","wind_storage",2075,0.37
"Argentina","wind_storage",2080,0.37
"Argentina","wind_storage",2085,0.37
"Argentina","wind_storage",2090,0.37
"Argentina","wind_storage",2095,0.37
"Argentina","wind_storage",2100,0.37
"Colombia","wind_storage",1975,0.32
"Colombia","wind_storage",1990,0.32
"Colombia","wind_storage",2005,0.32
"Colombia","wind_storage",2010,0.32
"Colombia","wind_storage",2015,0.32
"Colombia","wind_storage",2020,0.32
"Colombia","wind_storage",2025,0.32
"Colombia","wind_storage",2030,0.32
"Colombia","wind_storage",2035,0.32
"Colombia","wind_storage",2040,0.32
"Colombia","wind_storage",2045,0.32
"Colombia","wind_storage",2050,0.32
"Colombia","wind_storage",2055,0.32
"Colombia","wind_storage",2060,0.32
